system,level,energy_consumption [W/m³ = J/s·m³],water_consumption [g/s·m³],temperature [K/s],humidity [%/s],light [µmol·m⁻²·s⁻¹],soil_humidity [/s],pH [pH/s]
ventilation_system,0%,,,,,,,
ventilation_system,25%,5,,-0.0042,-0.0417,,,
ventilation_system,50%,10,,-0.0083,-0.0833,,,
ventilation_system,75%,15,,-0.0125,-0.125,,,
ventilation_system,100%,20,,-0.0167,-0.1667,,,
illumination_system,0%,,,,,,,
illumination_system,25%,17,,0.0028,,125.0,,
illumination_system,50%,33,,0.0056,,250.0,,
illumination_system,75%,50,,0.0083,,375.0,,
illumination_system,100%,67,,0.0111,,500.0,,
heating_system,0%,,,,,,,
heating_system,25%,25,,0.0042,0.0208,,-0.00042,
heating_system,50%,50,,0.0083,0.0417,,-0.00083,
heating_system,75%,75,,0.0125,0.0625,,-0.00167,
heating_system,100%,100,,0.0167,0.0833,,-0.00333,
humidification_system,0%,,,,,,,
humidification_system,25%,20,0.10,-0.0041,0.05,,,
humidification_system,50%,30,0.20,-0.0082,0.1,,,
humidification_system,75%,40,0.30,-0.0123,0.15,,,
humidification_system,100%,50,0.40,-0.0163,0.2,,,
irrigation_system,0%,,,,,,,
irrigation_system,25%,2,0.02315,,,,0.0042,-0.00015
irrigation_system,50%,4,0.04630,,,,0.0083,-0.0003
irrigation_system,75%,6,0.06944,,,,0.0167,-0.0006
irrigation_system,100%,8,0.11574,,,,0.0333,-0.0012
